Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS41,H2AK5ac,0.000803787078785,0.999631608087912,0.000401893539393
SBS42,H2AK5ac,NA,1,1
SBS43,H2AK5ac,NA,1,1
SBS44,H2AK5ac,0.204893893816379,0.924607217486014,0.102446946908189
SBS45,H2AK5ac,NA,1,1
SBS46,H2AK5ac,NA,1,1
SBS47,H2AK5ac,NA,1,1
SBS48,H2AK5ac,NA,1,1
SBS49,H2AK5ac,NA,1,1
SBS50,H2AK5ac,NA,1,1
SBS51,H2AK5ac,0.422678074170635,0.90927539613929,0.211339037085318
SBS52,H2AK5ac,0.855132140584706,0.427566070292353,0.708058789614817
SBS53,H2AK5ac,NA,1,1
SBS54,H2AK5ac,NA,1,1
SBS55,H2AK5ac,NA,1,1
SBS56,H2AK5ac,0.623261445221332,0.706415157133845,0.311630722610666
SBS57,H2AK5ac,NA,1,1
SBS58,H2AK5ac,0.029441956565135,0.98682682662762,0.014720978282568
SBS59,H2AK5ac,NA,1,1
SBS60,H2AK5ac,0.944182513250483,0.583182558487659,0.472091256625242
SBS84,H2AK5ac,NA,1,1
SBS85,H2AK5ac,NA,1,1
SBS86,H2AK5ac,NA,1,1
SBS87,H2AK5ac,NA,1,1
SBS88,H2AK5ac,NA,1,1
SBS89,H2AK5ac,NA,1,1
SBS90,H2AK5ac,NA,1,1
Unknown,H2AK5ac,9.02785209913844E-13,4.51392604956922E-13,0.999999999999552
SBS1,H2BK120ac,1.51763038147529E-12,0.999999999999246,7.58815190737643E-13
SBS2,H2BK120ac,0.002107059597633,0.001053529798817,0.998954116946222
SBS3,H2BK120ac,0.358874468052229,0.822028595696163,0.179437234026114
SBS4,H2BK120ac,0.462021001814305,0.771339494604421,0.231010500907153
SBS5,H2BK120ac,2.37476568165133E-05,1.18738284082567E-05,0.999988163594591
SBS6,H2BK120ac,0.015766093796758,0.992714247998254,0.007883046898379
SBS7a,H2BK120ac,0.074431378958005,0.966796117493756,0.037215689479003
SBS7b,H2BK120ac,0.72408166091539,0.362040830457695,0.666931397755841
SBS7c,H2BK120ac,0.271898710819648,0.135949355409824,0.897553053091811
SBS7d,H2BK120ac,0.204893893816379,0.102446946908189,0.924607217486014
SBS8,H2BK120ac,0.471742481917684,0.76523532587533,0.235871240958842
SBS9,H2BK120ac,0.054296335788755,0.974177921412199,0.027148167894378
SBS10a,H2BK120ac,0.324165768727393,0.847595598439387,0.162082884363697
SBS10b,H2BK120ac,0.052274972163629,0.976605239422749,0.026137486081815
SBS11,H2BK120ac,NA,1,1
SBS12,H2BK120ac,0.741259697119932,0.370629848559966,0.637939684778555
SBS13,H2BK120ac,1.10981027992941E-05,5.54905139964705E-06,0.999994515845078
SBS14,H2BK120ac,0.075560567525941,0.970987990026889,0.037780283762971
SBS15,H2BK120ac,0.059058229090537,0.029529114545268,0.984514284174577
SBS16,H2BK120ac,0.021448220043352,0.010724110021676,0.990059109431482
SBS17a,H2BK120ac,0.178513658005411,0.089256829002705,0.915007576456148
SBS17b,H2BK120ac,0.110796486627609,0.055398243313805,0.946337512140849
